Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006412~translation	176	3.0513176144244105	1.563478003946078E-54	Q96A35, Q71RC2, O00425, Q92616, P23396, Q15813, P62917, P62081, Q9H0U6, Q8IXM3, P18124, Q9NX20, Q04637, Q9UBS0, P62750, P47914, Q9Y6G3, Q9HBH1, P62910, Q6P5R6, P46783, P83731, Q13084, P62913, P62753, Q15025, P82921, Q8N983, P82912, Q9Y676, P82914, O43324, Q13405, P46782, Q9NRX2, P46781, Q9Y399, P36578, Q8NE71, P62244, Q9Y3B7, P84098, P63173, P68104, P62241, P62888, P61313, Q9Y285, P00533, P46777, P46776, P60866, P27635, P46779, P49406, P46778, P62249, P25398, Q96E11, Q9UKV8, P49366, Q86TS9, P18621, P62891, Q8IYD1, P12081, P63220, O60783, P62899, P40429, Q9Y450, Q9Y291, Q9Y2Z4, Q9Y2R5, O75879, P49591, Q9NRA8, Q13542, P08708, P26373, P23381, P62829, P18077, Q9BYD6, Q9Y2R9, Q9UHA3, P42677, P62266, Q9Y3D9, P15880, Q9Y3D3, Q9BYD3, Q02543, Q9Y3D5, Q9BYD2, P62263, Q9BYD1, P62701, P09001, Q9BT17, Q13155, Q13310, P62269, Q9P2E9, P82932, P62424, Q16540, Q969Q0, P82933, Q9Y3U8, Q9NSD9, Q71UM5, Q7Z2W9, Q12904, P62280, Q9P015, Q9BYC9, P39019, Q9NVS2, Q9BQC6, P19525, P63244, Q9NWU5, P62277, Q9BPZ3, P62273, P39023, P30050, Q9BZE1, P15170, Q07020, Q8N5C6, Q05639, P61353, P83881, Q7Z7H8, P82675, P62847, P05386, P05387, P62841, P05388, P49207, P61513, Q9UNX3, P61927, Q6P1L8, P32969, P52815, Q8TEQ6, Q5T653, P42766, Q02878, P50914, P61247, P47897, P62857, P62979, P62851, P08865, P62854, Q9NP92, E9PAV3, P62906, P31749, Q92905, P35268, P14868, P38935, O75394, Q8TCC3, P62861, Q9P0M9, P61254, P62987, Q7Z7F7	5506	223	19308	2.767635469825824	1.328330912152588E-50	1.328330912152588E-50	1.2812702242338108E-50
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	164	2.8432732316227463	5.757504333595561E-54	O43395, Q16629, Q7RTV0, Q9BRR8, P52272, Q9Y388, Q86V81, Q8IY67, Q9H840, O95391, P14678, Q01130, O00148, Q9NZ63, Q9HCJ3, Q96DI7, A8MWD9, O43719, Q8WWY3, Q15020, O15234, Q6NZY4, P09012, P09651, Q13243, Q9UK45, P62995, Q13123, Q00839, Q14331, O94906, Q9H2H8, Q13242, Q13247, P38919, P51991, P07910, Q13523, Q15029, O75934, Q69YN2, O75533, Q15428, Q15427, Q9UKM9, O43447, Q96I25, O75494, P22626, Q9Y3B4, Q9BWJ5, Q6UX04, Q9BTD8, O43290, P09661, Q15393, O43172, P08579, Q86U44, Q9UK59, P52298, Q96IZ5, O15541, O75643, Q9H307, P11940, O75400, Q96IZ7, O60306, Q9Y3C6, P42285, Q8TBF4, Q96NC0, P09234, P61326, P23246, Q15287, P31942, O43660, Q9UMS4, P31943, Q8NAV1, Q9Y333, Q9HCG8, Q8NDT2, P41223, Q99459, Q07955, P62306, P26368, P61978, Q96T58, Q96DF8, Q9ULR0, P62304, O43390, Q15459, P52597, Q13435, Q9UJV9, Q53GS9, Q9UQ35, Q8WYA6, Q13838, Q9P013, Q2TAY7, P62310, P16383, Q8IYB3, P62316, P84103, P62318, Q96A72, P62312, Q8WUQ7, P62314, Q12874, Q09161, P78332, Q8WXF1, P38159, Q9HCE5, Q9BWF3, Q9H5Z1, P11142, Q6P2Q9, Q9BRL6, Q13573, P55081, Q9BZL1, Q15233, Q96T37, Q9BRD0, P98175, Q96BP3, Q92917, Q9Y4Y9, Q15637, O95777, Q8TEQ6, Q9UNP9, O60508, O60506, P55769, Q9NW64, Q9Y5S9, P17844, Q9NX01, Q96MU7, Q96PK6, Q9BUQ8, Q2TBE0, Q9Y4Z0, P08621, Q5VTL8, Q08170, O75554, Q7L014, O60231, Q92620, Q9HCS7, Q9BZJ0, Q13595, Q14562	5506	202	19308	2.847039952814751	4.891575681822789E-50	2.4457878409113943E-50	2.359137400690781E-50
GOTERM_BP_DIRECT	GO:0015031~protein transport	266	4.611650485436893	5.3974993883290625E-45	Q6PD74, Q8N5I2, Q96KP1, Q9NRW7, Q99490, Q96BM9, Q9UMY4, Q9UK41, Q9BW27, Q8WUM4, Q9NRG9, P08962, P20290, P49257, Q9H5N1, Q92609, Q5JRA6, Q9P1Q0, Q9H8T0, Q01484, O95562, Q9UJC3, O00161, Q7Z6B0, Q9H9E3, Q567U6, Q9BYV8, Q13496, Q15437, P50395, Q15436, O95219, Q8WVM8, P32121, Q9H267, P51809, Q8IUD2, Q99584, Q8NFH3, Q8NFH4, Q9P2D3, Q9UBU9, Q8TDB6, P61619, A2RRP1, P62826, Q9H814, Q8TD16, Q9P003, O75351, Q9NZZ3, P55735, O60318, Q676U5, Q8N6H7, P59780, P31150, Q9NUP9, Q7LBR1, Q5SRE5, P60520, O14579, Q03518, Q03519, Q9UKX7, Q9P2E9, O75915, Q96FZ7, Q92538, O95235, Q53GS7, Q9Y3E0, Q8IX04, Q8N5M9, O43633, Q9H1K0, Q9H089, P35579, O95352, O60645, Q9UEU0, Q9Y3E7, O00471, Q9H082, Q9UL25, Q9BV40, Q5HYI7, P33947, O95249, O94832, O75695, Q08752, Q96D46, P37198, Q8NI22, Q8TCE6, Q9Y5J9, Q8NDI1, P41208, Q9UM54, P46459, Q3ZCQ8, Q12768, O43299, Q9H8W4, Q12769, Q9UQN3, Q86VS8, P36405, Q9Y4I1, Q96EE3, Q2VPB7, Q9NZ43, Q9UBQ0, Q15363, Q9H9H4, P61923, Q7Z7G8, Q9NPA8, P53990, Q969M3, Q8NEZ2, O15078, Q13505, Q9Y496, P14625, Q96NW4, Q9H8V3, Q9Y5L4, Q8N4H5, O75431, Q86UP2, B7ZAQ6, Q9BXF6, Q92621, Q99816, O14653, Q9H4M9, Q9HA65, P61019, Q15811, Q9Y547, P57729, Q7Z3U7, Q9P299, Q9H3S7, Q9Y5U9, P50897, Q8NI77, Q9Y3A6, O14828, P48444, O95721, Q9Y3R5, Q8N612, P57737, Q8WUD1, Q6WKZ4, Q9NV70, B7ZAP0, Q96B49, Q53FT3, P57735, Q96CF2, Q9HD26, Q9Y3B3, Q5T5C0, O15126, O15127, P47224, P49768, Q9HD20, Q15276, Q15833, Q9Y5W7, Q14746, O75886, Q8TEM1, Q9Y4E1, Q9Y3C0, Q03135, O00562, O60826, Q5VIR6, Q15286, O15498, Q9Y5X2, O14964, Q9NZ09, Q9UP83, P42566, O00459, O43264, Q96EY5, O14980, Q6ULP2, O43823, Q9NVZ3, Q8N1F7, Q08379, Q8NC96, O43707, O60831, O95070, Q96T51, O15027, Q9NVJ2, Q53HI1, Q92783, Q8N668, Q14764, Q5VZ89, Q9HC62, Q96NA2, Q9UID3, Q5R372, Q641Q2, Q5EBL4, Q12907, P51149, Q9ULJ7, Q99567, Q2M389, P09693, Q8WTW3, P63241, Q99442, Q96AX1, Q6NSW5, Q9Y4P1, Q13445, Q8N3P4, P51151, Q9GZV4, P49454, Q96A65, Q9NP79, Q96IW7, Q8WUX9, Q9NX76, Q9Y6D6, Q9Y6D5, Q8IYI6, Q8WYP5, Q9BVL2, O60493, Q5JVF3, O14910, P49321, Q9UPT5, Q9BTX1, O75165, Q9NUS5, Q9NVU7, O60220, P61764, Q9UJY5, Q96JG6, E9PAV3, P24390, Q13228, O75396, P52948, Q9NZN3, Q96RF0, Q8N6T3, Q9HD42	5506	439	19308	2.1248006937141257	4.5857154803243717E-41	1.5285718267747904E-41	1.474416916245222E-41
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	115	1.9937586685159503	1.1009511405816461E-44	Q92979, O43159, Q12788, P62081, O00541, Q06265, P18124, Q9UKD2, Q8TDD1, Q9Y3A4, Q9H6Y2, Q9Y3A5, Q9Y3A2, Q9Y2X3, Q14690, P62913, Q9BVI4, P62753, Q14331, Q15024, Q9H0D6, Q9UQ80, P38919, Q14978, Q9GZR2, Q9NQ55, Q8IWA0, Q9Y3B2, Q92841, Q9ULX3, Q9NPD3, P46777, O75817, P62249, Q9Y324, Q13895, O15381, Q8N726, Q76FK4, Q9H0S4, P58557, O00567, Q9NWS0, O00566, Q8TED0, O43818, P42285, Q9P2D1, P78316, P08708, P18077, P42677, O60832, Q9NX58, Q9Y4W2, P78346, O95478, P78345, P39019, Q8IZL8, Q15061, Q8NI36, Q9UI43, Q9H9J2, Q99848, Q9Y237, Q14137, Q9Y2L1, Q9BRU9, Q13601, Q13206, Q9NR30, Q9NY93, Q96G21, Q9Y5J1, Q9NV31, O75691, P61353, Q8N8A6, Q9BV38, P42771, P62847, P62841, Q7Z6M4, Q13610, P22087, Q9H501, Q9H583, Q9H9Y2, Q9NU22, P50914, Q5RKV6, P62857, Q9NZM5, P62851, P56182, O75607, Q9Y6V7, Q13868, Q9H6R4, Q01780, Q96GQ7, Q8TDN6, Q969E8, Q9NQT4, Q9NQT5, Q8TEX9, P57678, Q6RFH5, Q9BVJ6, P61254, Q96HR8, O95707, Q9Y2W2, Q5JTH9, Q14684	5506	131	19308	3.078418269590703	9.353680890381665E-41	2.338420222595416E-41	2.2555736492666474E-41
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	151	2.617891816920943	1.3887023537696898E-42	O43395, Q16629, Q4G0J3, P67809, Q14966, Q96E39, Q06787, O95391, P14678, O00422, Q96PZ0, Q96FV9, Q01130, Q96DI7, O15116, O15234, P09651, O94906, Q9H2H8, P07910, Q13523, Q16637, Q15029, O75934, Q8IWZ8, Q13769, O75533, Q15428, Q15427, Q69YN4, Q9NYV4, P67775, Q9NW13, Q99873, Q8WXA9, Q9UHX1, Q9UKV3, Q6IEG0, P09661, Q15393, O43172, Q9ULX6, Q5VZF2, P52298, Q66PJ3, P35637, O95218, Q9NYF8, P18583, O60828, Q9H0S4, Q02040, Q96IZ7, Q99590, Q9Y606, O00566, Q9Y3C6, Q8N163, Q8TBF4, P49756, P26599, P61326, P23246, Q15287, P31942, Q12972, Q13148, O43143, Q9BW85, Q86X95, Q92945, Q96NB3, Q13427, Q5BKZ1, Q8NDT2, Q96CM3, P17931, P41223, Q96ST2, O95905, P62306, P26368, Q15459, Q13435, O95758, Q53GS9, Q8IX01, Q6NYC1, Q8WYA6, Q13838, O95232, Q2TAY7, Q96PU8, O00192, Q8IYB3, P62316, P62318, Q96A72, Q14498, P62312, P62314, Q9H7N4, Q07021, Q92804, Q96SB4, Q96SB3, Q09161, Q5T200, Q96J01, P31483, P30153, Q9H875, O60936, Q9BWF3, Q05519, P11142, Q8NI27, Q6P2Q9, Q15233, P98175, Q86W42, Q9H0G5, Q9Y4Y9, Q8TA86, Q8N2M8, Q86U06, O60506, Q6NXG1, Q9Y5S9, Q7KZ85, Q9NY27, Q9BUQ8, Q9Y4Z0, Q6I9Y2, Q9UNY4, Q15007, Q9HB90, Q5VTL8, Q08170, O75312, O75554, O60231, O14893, A6NFN3, P78362, Q14684, O14776, Q14562, Q14320, Q9Y2W1	5506	200	19308	2.6475735561205958	1.1798415197627284E-38	2.3596830395254568E-39	2.2760831578285216E-39
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	86	1.4909847434119279	2.498342240602546E-40	Q9Y3U8, Q9Y2S6, P23396, P62917, P62081, Q8WU90, P62280, Q9H446, P18124, P39019, P63244, P62750, P62277, P47914, P62273, P39023, P30050, P62910, Q6P5R6, P46783, P83731, P62913, P62753, Q07020, P55039, P46782, P46781, P36578, P62244, P84098, P63173, P61353, P83881, P62241, P62888, P61313, P62847, P05386, P46777, P46776, P05387, P62841, P60866, P27635, P46779, P05388, P46778, P49207, P61513, Q9UNX3, P62249, P61927, P25398, P32969, P18621, P62891, P42766, Q02878, P50914, P63220, P62899, P40429, P61247, Q9Y295, P62857, P62979, P62851, P08865, P62854, P08708, P26373, P62906, P62829, P35268, P18077, P42677, P62266, P62861, P15880, P61254, Q02543, P62263, P62987, P62701, P62269, P62424	5506	90	19308	3.350865722242402	2.1225915676159234E-36	3.5376526126932053E-37	3.412319110289644E-37
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	152	2.6352288488210815	2.559203505994814E-35	O43395, Q16629, Q4G0J3, Q5T8P6, Q9BRR8, P67809, O75940, P55265, Q96E39, Q06787, O00422, Q96PZ0, Q96FV9, Q07352, Q01130, Q16630, O15116, O15234, Q14690, P09651, Q13243, Q8WW01, Q9H0D6, Q13242, Q16637, Q15029, Q8WWH5, O75934, Q8IWZ8, Q13769, Q8IZ73, Q15428, Q15427, Q69YN4, Q9NYV4, P22626, Q6P087, Q9NW13, Q8WXA9, Q9UHX1, Q7Z6J9, Q9UKV3, Q6IEG0, Q9ULX6, Q5VZF2, Q8WVV9, Q86U44, P51003, Q66PJ3, Q86U42, O95218, Q9NYF8, P18583, O60828, Q8IZ69, Q9H0S4, Q02040, Q99590, Q9UKF6, Q9Y606, Q8N163, P49756, Q92797, P26599, P23246, O95104, Q12972, Q13148, O43143, Q86X95, Q92945, Q96NB3, O95900, Q5BKZ1, Q8NDT2, Q6P6C2, Q96G46, Q96CM3, P17931, Q96ST2, Q07955, O95905, Q13151, Q9H6E5, P26368, O43390, Q15459, Q13435, O95758, Q53GS9, Q8IX01, Q6NYC1, Q8WYA6, Q96PU8, Q9P2N5, P62310, Q8IYB3, P62316, Q92499, Q14498, A0A0U1RRE5, P62314, Q9H7N4, Q12874, Q07021, Q6L8Q7, Q12996, Q5T200, Q96J01, P31483, Q07666, Q9H875, O43809, Q9BWF3, Q05519, P11142, Q8NI27, Q9BXP5, Q6P2Q9, Q7L8L6, Q15233, Q86W42, Q9BSV6, Q9H0G5, Q92879, Q9Y4Y9, Q8N2M8, Q86U06, Q6NXG1, Q9Y5S9, Q7KZ85, Q00613, Q9NY27, Q6I9Y2, Q9UNY4, Q7Z6E9, Q15007, Q5VTL8, Q08170, Q96C86, O75312, P14866, P17612, P63272, Q8NCE0, O14893, A6NFN3, Q14684, O14776, Q14320, Q9Y2W1	5506	220	19308	2.4228246871181853	2.1742992986931938E-31	3.106141855275992E-32	2.9960961045182144E-32
GOTERM_BP_DIRECT	GO:0032543~mitochondrial translation	86	1.4909847434119279	6.864783500369148E-35	Q96A35, Q96DV4, Q96EL2, Q7Z2W9, Q96EL3, Q9H0U6, Q9P015, Q8IXM3, Q9BYC9, Q9NVS2, Q9BQC6, Q9NX20, Q9NWU5, Q5T160, Q9NYY8, Q9Y6G3, Q9BZE1, Q9HD33, Q13084, Q9NSE4, Q9H9J2, Q96GC5, P82921, Q8N983, P82912, Q9Y676, P82914, P51398, Q969S9, Q13405, Q9NRX2, Q9NQ50, Q9Y399, Q9BYN8, Q9Y3B7, Q8TAE8, Q6P161, P82673, Q7Z7H8, P82675, P49406, Q96BP2, Q6P1L8, Q8NC60, O75127, P52815, Q9Y2Q9, Q86TS9, Q9H2W6, Q5T653, P12081, O60783, Q14197, P82663, P82664, Q92552, Q9NYK5, Q9Y291, Q96EY7, Q9Y2R5, Q9NP92, O75879, Q8N5N7, Q9H0R6, O95182, Q9BYD6, Q9Y2R9, O75394, Q8TCC3, Q9Y3D9, Q9P0M9, Q9Y3D3, Q9BYD3, Q9Y3D5, Q9BYD2, Q9BYD1, P82650, Q92665, P09001, Q9BT17, Q9BRJ2, P82930, Q7Z7F7, P82932, Q16540, P82933	5506	96	19308	3.1414366146022523	5.832320061913628E-31	7.290400077392035E-32	7.032112598190646E-32
GOTERM_BP_DIRECT	GO:0006886~intracellular protein transport	190	3.294036061026352	9.019097656434185E-29	P53367, Q9BYX2, P53365, Q96L92, P57729, O95714, Q13637, Q13636, P18085, Q9P299, O95391, Q9NRW7, P38646, P61020, Q9Y3A6, Q9H0U4, Q92572, O14662, O95716, P48444, P09496, P09497, Q96QK1, Q6ZT07, Q96DA6, Q04917, Q9HAV7, Q92974, Q9UBK7, Q9Y678, Q9UNK0, Q92609, Q658Y4, B7ZAP0, Q9BZH6, Q9H270, Q9Y3B3, Q96AJ9, Q9UIA9, Q96CW1, Q9UMZ2, O15400, P60468, Q15833, Q15437, Q9Y6Y8, Q15436, P10619, Q8WVM8, Q9H269, O95295, Q8TC07, Q12846, Q9Y6Q5, Q9H267, O00203, Q00535, P61204, Q9Y5X1, P49755, Q9Y5X3, Q9Y5X2, Q9BQE4, Q92834, P61966, Q9UHQ4, O14966, Q96JC1, Q99747, Q9BW83, Q9UI26, O15397, O14980, P54922, P55735, P54920, Q9Y3D7, O60830, P59780, O14617, Q4KMP7, Q66K14, Q96JB2, Q9H9C1, Q9Y6B6, Q9UBN7, Q13277, P55060, P62820, Q9H1C4, Q9UBF2, Q14247, Q9HAS0, Q13795, Q9H2M9, Q96C34, O43592, Q9NP61, O43752, Q96AP0, P53680, Q10567, Q9P253, O00186, Q5R372, O75340, P51148, Q4G0F5, Q9BZE9, Q9BXI6, Q9UEU0, O60763, Q96AX1, Q9Y2T2, P61106, P41214, Q13445, P35606, Q9UL25, P51157, Q96C24, O95487, P56962, P06748, Q9NP72, Q92928, Q9H115, P53618, Q9NR31, Q9ULC3, Q9P2W9, O95486, Q9Y2D4, P63010, P30040, Q7Z7H5, Q8WUH2, Q8TEA7, Q9UM54, Q8TAA5, P46459, P53621, P24386, Q86Y82, Q3ZCQ8, P36406, O60749, O95373, O43615, P84085, P62330, P20339, O14925, Q9UNH7, Q0IIM8, O60343, Q00610, Q9UBQ0, Q15363, P61764, Q5T9L3, Q9UJY5, P61923, P83436, Q9H0F7, Q9BVK6, Q9H1H9, P51572, O94973, P53992, O75436, O94855, Q8TEX9, Q9UPM8, O95782, Q9Y3P9, Q9H0N0, O43747, Q9H173, Q9NZ52, Q8TAG9, P84077, Q13190, P62745, P40616, O94979, P20340, Q13596, P60602, Q9HA65, Q9H4M9	5506	328	19308	2.031331673650918	7.662625368906484E-25	8.51402818767387E-26	8.212389477164239E-26
GOTERM_BP_DIRECT	GO:0051301~cell division	211	3.658113730929265	7.923811833776279E-28	Q14204, Q9BWT1, O43670, Q14203, Q9Y265, Q8TEW0, Q9Y266, Q9BVA0, P48729, O60566, P61024, Q96BM9, O60563, P09496, P43034, Q8N3U4, Q9ULW0, Q00839, Q9HC98, Q92974, Q14457, Q16513, O43684, O60216, Q86WB0, Q16763, Q9BW19, Q29RF7, Q15555, Q13257, Q8WVM7, Q9BRX2, O75122, Q7Z3K3, Q96Q89, P49917, P49916, P18858, Q8NFH3, Q8NFH4, Q9Y6A5, P62136, Q93008, O94927, Q9BQE3, Q6IQ49, O95347, P62826, Q96NB3, O43663, Q8TD19, Q9NRZ9, O75351, P56945, P18754, P62140, Q5T9A4, Q7LBR1, P24864, Q16543, Q15691, Q8IX90, Q14004, Q53GS9, Q14008, P11802, P14635, Q96CT7, Q5T280, Q9H081, Q86XI2, O75909, Q8IYB7, Q96R06, P07437, Q96CS2, Q96MF7, O43768, Q96K21, Q8IY18, Q9UBP0, P41208, O75449, P56211, Q9Y5K6, O60508, Q9BPX3, Q96EE3, P62330, Q99708, Q9NTI5, Q9NVM9, Q15003, P60953, Q9H1H9, O00139, P53990, Q8TAP9, P36873, O75794, Q8NBT2, P11234, P11233, Q9NXR1, P27816, Q9NTJ3, Q9NXR7, P04150, Q99816, O14777, P08754, Q9H0E7, Q15019, Q15018, Q9BTV5, P23396, Q6P1J9, P33992, P63172, Q9Y6G9, Q9BTE3, Q15021, Q9UNS1, Q9H6H4, Q9Y6X3, Q8N4N8, O75410, Q8NHV4, Q7Z460, Q96GN5, P12270, Q86XL3, Q6P1K2, P42695, Q14980, Q9Y448, Q9UN37, Q7Z7K6, O75400, P52732, Q9C099, Q99986, Q66K89, Q9NR09, Q00535, Q00534, O14965, Q9BVW5, O43264, O95067, Q9H410, Q9NVJ2, P06493, Q99618, Q9HBM1, Q9NYP9, Q15058, Q6NUK4, P33552, Q69YQ0, P50613, Q9P258, Q9H2D6, Q8IVT2, P49454, Q08J23, Q68CZ6, P51957, Q9BZD4, P51956, O43805, Q8NHZ8, P46736, Q8N0Z3, Q9NWV8, Q9UJX2, P50748, Q9UQE7, P52926, Q9Y5B0, Q9UJX6, Q8WYP5, Q9UJX5, Q9UJX4, Q9UJX3, O43491, Q9Y6D9, Q7Z5K2, Q2NKX8, P04899, Q9H900, Q8NEB9, Q7RTP6, P78406, O00762, O00401, Q99661, Q00610, Q9HC35, Q8NFC6, Q7Z4H7, Q9H211, P63279, O60232, P30260, P24941, Q8N0X7, Q71U36, Q14683, P49427, Q9HD42	5506	383	19308	1.9319005423942928	6.732070533976327E-24	6.732070533976327E-25	6.49356379777966E-25
