#id: 1502934799
#name: H.sapiens - Whole organism (Integrated)
#score: 25.3
#description: integrated dataset: weighted average of all H.sapiens WHOLE_ORGANISM, Interaction consistency score: 25.3, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 99
#publication_year: 2021
#filename: 9606-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
4445428	9606.ENSP00000370010	37104
4443001	9606.ENSP00000356969	30702
4443752	9606.ENSP00000360522	23754
4437206	9606.ENSP00000295897	21929
4434700	9606.ENSP00000259396	14374
4433675	9606.ENSP00000237014	12529
4433668	9606.ENSP00000236850	12323
4450772	9606.ENSP00000465356	12058
4433451	9606.ENSP00000229239	10014
4433396	9606.ENSP00000227667	7886
4448813	9606.ENSP00000416066	7841
4450595	9606.ENSP00000458162	7292
4441991	9606.ENSP00000349960	7227
4447538	9606.ENSP00000388107	5996
4434228	9606.ENSP00000252490	5903
4450821	9606.ENSP00000466775	5903
4435671	9606.ENSP00000265983	5601
4440511	9606.ENSP00000333994	5434
4447873	9606.ENSP00000394936	5266
4449041	9606.ENSP00000419425	5219
4440915	9606.ENSP00000339001	4901
4434183	9606.ENSP00000251595	4854
4439524	9606.ENSP00000322421	4854
4441808	9606.ENSP00000348170	4767
4436015	9606.ENSP00000272317	4452
4440919	9606.ENSP00000339063	4403
4433326	9606.ENSP00000225655	4371
4441496	9606.ENSP00000345179	4254
4447279	9606.ENSP00000385834	4160
4447823	9606.ENSP00000393887	4102
4439337	9606.ENSP00000320171	3908
4433634	9606.ENSP00000234590	3779
4450181	9606.ENSP00000446007	3466
4442941	9606.ENSP00000356671	3396
4438190	9606.ENSP00000306099	3089
4449616	9606.ENSP00000432083	2993
4445814	9606.ENSP00000373620	2924
4449639	9606.ENSP00000432660	2813
4433951	9606.ENSP00000245907	2724
4446386	9606.ENSP00000378669	2714
4432817	9606.ENSP00000205948	2705
4449581	9606.ENSP00000431254	2684
4437352	9606.ENSP00000296930	2648
4441138	9606.ENSP00000341289	2611
4446480	9606.ENSP00000379287	2518
4449184	9606.ENSP00000421725	2518
4441580	9606.ENSP00000346032	2412
4444265	9606.ENSP00000362924	2411
4438070	9606.ENSP00000304697	2276
4434727	9606.ENSP00000259818	2275
4435563	9606.ENSP00000265132	2182
4440740	9606.ENSP00000336829	2173
4445375	9606.ENSP00000369703	2152
4435898	9606.ENSP00000269576	2131
4436962	9606.ENSP00000292401	2118
4435372	9606.ENSP00000264071	2110
4445365	9606.ENSP00000369654	2070
4435415	9606.ENSP00000264335	2031
4438214	9606.ENSP00000306361	1988
4450150	9606.ENSP00000445175	1956
4434216	9606.ENSP00000252244	1951
4443770	9606.ENSP00000360609	1861
4443033	9606.ENSP00000357076	1842
4446501	9606.ENSP00000379386	1835
4450736	9606.ENSP00000464265	1805
4439653	9606.ENSP00000323929	1764
4435133	9606.ENSP00000262746	1758
4446516	9606.ENSP00000379475	1740
4441512	9606.ENSP00000345347	1728
4437240	9606.ENSP00000296130	1717
4435199	9606.ENSP00000263100	1703
4435459	9606.ENSP00000264613	1700
4443166	9606.ENSP00000357727	1673
4450215	9606.ENSP00000446955	1639
4434993	9606.ENSP00000262030	1625
4444160	9606.ENSP00000362413	1618
4439472	9606.ENSP00000321744	1608
4441873	9606.ENSP00000348924	1608
4444932	9606.ENSP00000366962	1608
4450164	9606.ENSP00000445633	1608
4451751	9606.ENSP00000483237	1608
4451366	9606.ENSP00000479169	1608
4436804	9606.ENSP00000289316	1607
4441923	9606.ENSP00000349430	1606
4442881	9606.ENSP00000356399	1605
4451817	9606.ENSP00000483903	1605
4451599	9606.ENSP00000481622	1602
4444884	9606.ENSP00000366618	1601
4451252	9606.ENSP00000477907	1600
4433901	9606.ENSP00000244537	1581
4441692	9606.ENSP00000347168	1581
4444931	9606.ENSP00000366956	1581
4444934	9606.ENSP00000366974	1581
4444948	9606.ENSP00000367034	1581
4450064	9606.ENSP00000443017	1581
4450668	9606.ENSP00000462355	1581
4450676	9606.ENSP00000462667	1581
4451358	9606.ENSP00000479106	1581
4451392	9606.ENSP00000479461	1581
4451423	9606.ENSP00000479794	1581
4451542	9606.ENSP00000480960	1581
4451586	9606.ENSP00000481486	1581
4451886	9606.ENSP00000484789	1581
4450354	9606.ENSP00000451291	1575
4451211	9606.ENSP00000477527	1569
4443268	9606.ENSP00000358151	1569
4451152	9606.ENSP00000476136	1567
4451707	9606.ENSP00000482674	1564
4442050	9606.ENSP00000350425	1553
4451378	9606.ENSP00000479284	1548
4450175	9606.ENSP00000445831	1546
4444623	9606.ENSP00000364935	1544
4437223	9606.ENSP00000296028	1513
4435537	9606.ENSP00000265023	1490
4444702	9606.ENSP00000365439	1393
4433993	9606.ENSP00000246662	1385
4441190	9606.ENSP00000341826	1360
4438421	9606.ENSP00000308541	1352
4436861	9606.ENSP00000290378	1351
4438974	9606.ENSP00000315130	1337
4433456	9606.ENSP00000229270	1336
4440737	9606.ENSP00000336799	1334
4450285	9606.ENSP00000449404	1329
4437883	9606.ENSP00000302665	1309
4442723	9606.ENSP00000355645	1297
4441502	9606.ENSP00000345230	1294
4448229	9606.ENSP00000402373	1283
4447434	9606.ENSP00000386857	1276
4440399	9606.ENSP00000332790	1274
4444599	9606.ENSP00000364801	1269
4444600	9606.ENSP00000364802	1269
4434387	9606.ENSP00000254810	1265
4442746	9606.ENSP00000355778	1265
4439395	9606.ENSP00000320866	1265
