From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
P62328	P62328	TYB4_HUMAN	Thymosin beta-4 (T beta-4) (Fx) [Cleaved into: Hemoregulatory peptide AcSDKP (Ac-Ser-Asp-Lys-Pro) (N-acetyl-SDKP) (AcSDKP) (Seraspenide)]	TMSB4X TB4X THYB4 TMSB4	actin filament organization [GO:0007015]; cytoplasmic sequestering of NF-kappaB [GO:0007253]; negative regulation of cell cycle G1/S phase transition [GO:1902807]; negative regulation of hematopoietic stem cell differentiation [GO:1902037]; negative regulation of interleukin-8 production [GO:0032717]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding [GO:1903026]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of proton-transporting ATP synthase activity, rotational mechanism [GO:1905273]; regulation of cell migration [GO:0030334]; regulation of inflammatory response [GO:0050727]; regulation of NIK/NF-kappaB signaling [GO:1901222]; sequestering of actin monomers [GO:0042989]; tumor necrosis factor-mediated signaling pathway [GO:0033209]
P02768	P02768	ALBU_HUMAN	Albumin	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	cellular response to starvation [GO:0009267]; maintenance of mitochondrion location [GO:0051659]; negative regulation of apoptotic process [GO:0043066]; negative regulation of programmed cell death [GO:0043069]; retina homeostasis [GO:0001895]
P04406	P04406	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	GAPDH GAPD CDABP0047 OK/SW-cl.12	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cellular response to interferon-gamma [GO:0071346]; defense response to fungus [GO:0050832]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]; killing by host of symbiont cells [GO:0051873]; killing of cells of another organism [GO:0031640]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of endopeptidase activity [GO:0010951]; negative regulation of translation [GO:0017148]; neuron apoptotic process [GO:0051402]; peptidyl-cysteine S-trans-nitrosylation [GO:0035606]; positive regulation of cytokine production [GO:0001819]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of type I interferon production [GO:0032481]; protein stabilization [GO:0050821]; regulation of macroautophagy [GO:0016241]
P63261	P63261	ACTG_HUMAN	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	ACTG1 ACTG	angiogenesis [GO:0001525]; cellular response to interferon-gamma [GO:0071346]; maintenance of blood-brain barrier [GO:0035633]; morphogenesis of a polarized epithelium [GO:0001738]; platelet aggregation [GO:0070527]; positive regulation of cell migration [GO:0030335]; positive regulation of gene expression [GO:0010628]; positive regulation of wound healing [GO:0090303]; protein localization to bicellular tight junction [GO:1902396]; regulation of focal adhesion assembly [GO:0051893]; regulation of stress fiber assembly [GO:0051492]; regulation of transepithelial transport [GO:0150111]; response to calcium ion [GO:0051592]; response to mechanical stimulus [GO:0009612]; retina homeostasis [GO:0001895]; sarcomere organization [GO:0045214]; synaptic vesicle endocytosis [GO:0048488]; tight junction assembly [GO:0120192]
P60709	P60709	ACTB_HUMAN	Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	ACTB	adherens junction assembly [GO:0034333]; apical protein localization [GO:0045176]; axonogenesis [GO:0007409]; cell motility [GO:0048870]; cellular response to cytochalasin B [GO:0072749]; chromatin remodeling [GO:0006338]; establishment or maintenance of cell polarity [GO:0007163]; histone acetylation [GO:0016573]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; maintenance of blood-brain barrier [GO:0035633]; morphogenesis of a polarized epithelium [GO:0001738]; negative regulation of cell differentiation [GO:0045596]; negative regulation of protein binding [GO:0032091]; platelet aggregation [GO:0070527]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of norepinephrine uptake [GO:0051623]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of T cell differentiation [GO:0045582]; postsynaptic actin cytoskeleton organization [GO:0098974]; protein localization to adherens junction [GO:0071896]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of double-strand break repair [GO:2000779]; regulation of G0 to G1 transition [GO:0070316]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; regulation of norepinephrine uptake [GO:0051621]; regulation of nucleotide-excision repair [GO:2000819]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transepithelial transport [GO:0150111]; regulation of transmembrane transporter activity [GO:0022898]; retina homeostasis [GO:0001895]; substantia nigra development [GO:0021762]; synaptic vesicle endocytosis [GO:0048488]
P62987	P62987	RL40_HUMAN	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (Large ribosomal subunit protein eL40)]	UBA52 UBCEP2	cytoplasmic translation [GO:0002181]; modification-dependent protein catabolic process [GO:0019941]; protein modification process [GO:0036211]; protein ubiquitination [GO:0016567]; translation [GO:0006412]
P62937	P62937	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	PPIA CYPA	activation of protein kinase B activity [GO:0032148]; apoptotic process [GO:0006915]; cell adhesion molecule production [GO:0060352]; cellular response to oxidative stress [GO:0034599]; endothelial cell activation [GO:0042118]; leukocyte chemotaxis [GO:0030595]; lipid droplet organization [GO:0034389]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of protein K48-linked ubiquitination [GO:0061944]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of stress-activated MAPK cascade [GO:0032873]; negative regulation of viral life cycle [GO:1903901]; neuron differentiation [GO:0030182]; neutrophil chemotaxis [GO:0030593]; platelet activation [GO:0030168]; platelet aggregation [GO:0070527]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein secretion [GO:0050714]; positive regulation of viral genome replication [GO:0045070]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; regulation of apoptotic signaling pathway [GO:2001233]; regulation of viral genome replication [GO:0045069]; viral release from host cell [GO:0019076]
P07437	P07437	TBB5_HUMAN	Tubulin beta chain (Tubulin beta-5 chain)	TUBB TUBB5 OK/SW-cl.56	cell division [GO:0051301]; cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]; natural killer cell mediated cytotoxicity [GO:0042267]; odontoblast differentiation [GO:0071895]; regulation of synapse organization [GO:0050807]; spindle assembly [GO:0051225]
P69905	P69905	HBA_HUMAN	Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain) [Cleaved into: Hemopressin]	HBA1; HBA2	carbon dioxide transport [GO:0015670]; cellular oxidant detoxification [GO:0098869]; hydrogen peroxide catabolic process [GO:0042744]; nitric oxide transport [GO:0030185]; oxygen transport [GO:0015671]; positive regulation of cell death [GO:0010942]; response to hydrogen peroxide [GO:0042542]
P62979	P62979	RS27A_HUMAN	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)]	RPS27A UBA80 UBCEP1	cytoplasmic translation [GO:0002181]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; translation [GO:0006412]
